Year,Event,count,depression_rate,nber_rate,crash90,win180
1981,HOUSING_BUST,136,19.852941176470587,100.0,94.85294117647058,3.6764705882352944
1981,LABOUR_SHOCK,17,0.0,100.0,100.0,5.88235294117647
1982,EM_CURRENCY_STRESS,15,0.0,100.0,0.0,100.0
1982,FLASH_MOVE,2,0.0,100.0,0.0,100.0
1982,HOUSING_BUST,38,0.0,100.0,100.0,100.0
1982,LABOUR_SHOCK,5,0.0,100.0,0.0,100.0
1983,EM_CURRENCY_STRESS,69,0.0,0.0,60.86956521739131,30.434782608695656
1984,BOND_FREEZE,21,0.0,0.0,0.0,100.0
1984,EM_CURRENCY_STRESS,80,0.0,0.0,27.500000000000004,81.25
1984,LABOUR_SHOCK,18,0.0,0.0,0.0,100.0
1986,LABOUR_SHOCK,2,0.0,0.0,50.0,100.0
1987,BOND_FREEZE,37,0.0,0.0,56.75675675675676,2.7027027027027026
1987,FLASH_MOVE,5,0.0,0.0,20.0,80.0
1988,EM_CURRENCY_STRESS,11,0.0,0.0,0.0,100.0
1988,FLASH_MOVE,1,0.0,0.0,0.0,100.0
1988,LABOUR_SHOCK,1,0.0,0.0,0.0,100.0
1989,EM_CURRENCY_STRESS,3,0.0,0.0,0.0,100.0
1989,FLASH_MOVE,1,0.0,100.0,100.0,100.0
1989,LABOUR_SHOCK,8,0.0,100.0,87.5,100.0
1990,BOND_FREEZE,10,0.0,100.0,90.0,10.0
1990,FLASH_MOVE,93,0.0,100.0,49.46236559139785,55.91397849462365
1990,HOUSING_BUST,41,0.0,100.0,82.92682926829268,65.85365853658537
1990,LABOUR_SHOCK,49,0.0,100.0,12.244897959183673,100.0
1991,EM_CURRENCY_STRESS,11,0.0,0.0,0.0,100.0
1991,FLASH_MOVE,75,0.0,26.666666666666668,8.0,100.0
1992,FLASH_MOVE,60,0.0,0.0,16.666666666666664,91.66666666666666
1992,SUGAR_CRASH,6,0.0,0.0,16.666666666666664,100.0
1993,FLASH_MOVE,63,0.0,0.0,30.158730158730158,71.42857142857143
1993,SUGAR_CRASH,12,0.0,0.0,41.66666666666667,50.0
1994,BOND_FREEZE,17,0.0,0.0,76.47058823529412,29.411764705882355
1994,EM_CURRENCY_STRESS,9,0.0,0.0,100.0,22.22222222222222
1994,FLASH_MOVE,94,0.0,0.0,46.808510638297875,69.14893617021278
1994,SUGAR_CRASH,10,0.0,0.0,90.0,50.0
1994,TEMPORAL_CRISIS,42,0.0,0.0,100.0,7.142857142857142
1995,DEPRESSION_WATCH,44,0.0,0.0,0.0,100.0
1995,FLASH_MOVE,62,0.0,0.0,0.0,100.0
1995,LABOUR_SHOCK,25,0.0,0.0,0.0,100.0
1995,SUGAR_CRASH,69,0.0,0.0,0.0,100.0
1996,BOND_FREEZE,10,0.0,0.0,0.0,100.0
1996,EM_CURRENCY_STRESS,46,0.0,0.0,2.1739130434782608,100.0
1996,FLASH_MOVE,74,0.0,0.0,4.054054054054054,100.0
1996,SUGAR_CRASH,3,0.0,0.0,0.0,100.0
1997,EM_CURRENCY_STRESS,52,0.0,0.0,0.0,100.0
1997,FLASH_MOVE,70,0.0,0.0,1.4285714285714286,100.0
1998,FLASH_MOVE,100,0.0,0.0,33.0,100.0
1998,LABOUR_SHOCK,12,0.0,0.0,83.33333333333334,100.0
1998,SOLVENCY_DEATH,82,0.0,0.0,0.0,100.0
1999,BOND_FREEZE,9,0.0,0.0,55.55555555555556,100.0
1999,EM_CURRENCY_STRESS,29,0.0,0.0,41.37931034482759,100.0
1999,FLASH_MOVE,93,0.0,0.0,16.129032258064516,96.7741935483871
1999,SOLVENCY_DEATH,100,0.0,0.0,8.0,97.0
2000,BOND_FREEZE,4,0.0,0.0,100.0,25.0
2000,EM_CURRENCY_STRESS,58,56.896551724137936,39.6551724137931,17.24137931034483,17.24137931034483
2000,FLASH_MOVE,90,70.0,67.77777777777779,58.88888888888889,7.777777777777778
2000,LABOUR_SHOCK,7,100.0,100.0,100.0,0.0
2000,SOLVENCY_DEATH,214,88.3177570093458,88.3177570093458,78.97196261682244,1.4018691588785046
2001,EM_CURRENCY_STRESS,2,0.0,100.0,100.0,0.0
2001,FLASH_MOVE,91,28.57142857142857,92.3076923076923,63.73626373626373,6.593406593406594
2001,LABOUR_SHOCK,29,3.4482758620689653,100.0,24.137931034482758,0.0
2001,SOLVENCY_DEATH,248,31.048387096774192,91.93548387096774,71.7741935483871,6.451612903225806
2002,EM_CURRENCY_STRESS,3,0.0,0.0,100.0,0.0
2002,FLASH_MOVE,99,5.05050505050505,0.0,67.67676767676768,48.484848484848484
2002,SOLVENCY_DEATH,252,7.936507936507936,0.0,77.77777777777779,42.06349206349206
2002,TEMPORAL_CRISIS,2,0.0,0.0,0.0,100.0
2002,WAR_PROTOCOL,1,0.0,0.0,0.0,100.0
2003,BOND_FREEZE,2,0.0,0.0,0.0,100.0
2003,FLASH_MOVE,55,0.0,0.0,1.8181818181818181,100.0
2003,SOLVENCY_DEATH,197,0.0,0.0,1.015228426395939,100.0
2003,TEMPORAL_CRISIS,35,0.0,0.0,5.714285714285714,100.0
2003,WAR_PROTOCOL,1,0.0,0.0,0.0,100.0
2004,BOND_FREEZE,1,0.0,0.0,0.0,100.0
2004,FLASH_MOVE,76,0.0,0.0,50.0,89.47368421052632
2004,SUGAR_CRASH,9,0.0,0.0,88.88888888888889,100.0
2004,WAR_PROTOCOL,4,0.0,0.0,0.0,100.0
2005,BOND_FREEZE,3,0.0,0.0,0.0,100.0
2005,EM_CURRENCY_STRESS,36,0.0,0.0,0.0,100.0
2005,FLASH_MOVE,74,0.0,0.0,8.108108108108109,100.0
2005,LABOUR_SHOCK,15,0.0,0.0,0.0,100.0
2005,SUGAR_CRASH,24,0.0,0.0,20.833333333333336,100.0
2005,TEMPORAL_CRISIS,51,0.0,0.0,0.0,100.0
2005,WAR_PROTOCOL,1,0.0,0.0,0.0,100.0
2006,BOND_FREEZE,18,0.0,0.0,44.44444444444444,100.0
2006,FLASH_MOVE,67,0.0,0.0,25.37313432835821,100.0
2006,SUGAR_CRASH,41,0.0,0.0,19.51219512195122,100.0
2006,TEMPORAL_CRISIS,4,0.0,0.0,25.0,100.0
2006,WAR_PROTOCOL,1,0.0,0.0,0.0,100.0
2007,BOND_FREEZE,4,75.0,100.0,75.0,0.0
2007,BUY_WPM_NOW,1,0.0,100.0,0.0,100.0
2007,FLASH_MOVE,113,68.14159292035397,100.0,54.86725663716814,23.008849557522122
2007,HOUSING_BUST,180,80.0,100.0,62.77777777777778,11.666666666666666
2007,SOLVENCY_DEATH,34,100.0,100.0,100.0,0.0
2007,SUGAR_CRASH,16,25.0,100.0,25.0,62.5
2007,TEMPORAL_CRISIS,18,100.0,100.0,100.0,0.0
2007,WAR_PROTOCOL,2,100.0,100.0,100.0,0.0
2008,BUY_WPM_NOW,3,33.33333333333333,100.0,100.0,33.33333333333333
2008,EM_CURRENCY_STRESS,9,0.0,100.0,100.0,33.33333333333333
2008,FLASH_MOVE,118,30.508474576271187,100.0,84.7457627118644,31.35593220338983
2008,HOUSING_BUST,89,19.101123595505616,100.0,100.0,10.112359550561797
2008,LABOUR_SHOCK,33,15.151515151515152,100.0,93.93939393939394,6.0606060606060606
2008,SOLVENCY_DEATH,253,46.6403162055336,100.0,88.53754940711462,18.57707509881423
2008,TEMPORAL_CRISIS,33,0.0,100.0,100.0,0.0
2008,WAR_PROTOCOL,5,0.0,100.0,100.0,0.0
2009,FLASH_MOVE,95,0.0,64.21052631578948,2.1052631578947367,92.63157894736842
2009,SOLVENCY_DEATH,252,0.0,49.2063492063492,2.380952380952381,84.92063492063492
2010,EM_CURRENCY_STRESS,3,0.0,0.0,100.0,100.0
2010,FLASH_MOVE,87,0.0,0.0,26.436781609195403,86.20689655172413
2010,SOLVENCY_DEATH,251,0.0,0.0,32.669322709163346,87.25099601593625
2011,FLASH_MOVE,122,0.0,0.0,37.704918032786885,70.49180327868852
2011,SOLVENCY_DEATH,169,0.0,0.0,27.218934911242602,88.16568047337277
2012,FLASH_MOVE,96,0.0,0.0,14.583333333333334,98.95833333333334
2012,LABOUR_SHOCK,5,0.0,0.0,0.0,100.0
2012,SOLVENCY_DEATH,250,0.0,0.0,16.8,98.4
2013,BOND_FREEZE,21,0.0,0.0,0.0,100.0
2013,BUY_WPM_NOW,3,0.0,0.0,0.0,33.33333333333333
2013,COMBO_CRISIS,1,0.0,0.0,0.0,100.0
2013,EM_CURRENCY_STRESS,18,0.0,0.0,0.0,100.0
2013,FLASH_MOVE,88,0.0,0.0,0.0,100.0
2013,SOLVENCY_DEATH,23,0.0,0.0,0.0,100.0
2013,SUGAR_CRASH,37,0.0,0.0,0.0,100.0
2013,TEMPORAL_CRISIS,60,0.0,0.0,0.0,100.0
2013,WAR_PROTOCOL,3,0.0,0.0,0.0,100.0
2014,BUY_BTC_NOW,3,0.0,0.0,100.0,0.0
2014,FLASH_MOVE,106,0.0,0.0,3.7735849056603774,89.62264150943396
2014,SOLVENCY_DEATH,8,0.0,0.0,0.0,0.0
2014,SUGAR_CRASH,27,0.0,0.0,11.11111111111111,92.5925925925926
2015,BUY_BTC_NOW,5,0.0,0.0,40.0,80.0
2015,BUY_WPM_NOW,2,0.0,0.0,50.0,100.0
2015,EM_CURRENCY_STRESS,16,0.0,0.0,75.0,100.0
2015,FLASH_MOVE,162,0.0,0.0,55.55555555555556,50.617283950617285
